,source,values,pvalues,target,source cell type,target cell type,CT
2116,DKK2,0.30156500031694533,0.0,LRP6,Neurons2,NG2,10
974,AGT,0.28379699117671386,0.0,PRKCE,Neurons2,NG2,10
2105,RSPO3,0.2569484891611263,0.0,LRP6,Neurons2,NG2,10
2114,WNT3,0.24990535167536843,0.0,LRP6,Neurons2,NG2,10
2109,FZD8,0.2423480165170814,0.0,LRP6,Neurons2,NG2,10
1655,BDNF,0.196767290069977,0.0,CDK1,Neurons2,NG2,10
3901,OXT,0.13275826563122245,0.0,SLC12A5,Neurons2,NG2,10
3433,TYK2,0.10538272296151316,0.0,GHR,Neurons2,NG2,10
3628,SHH,0.1032319943956179,0.0,HHIP,Neurons2,NG2,10
3945,FGFR3,0.09943910069873317,0.0,DYRK1A,Neurons2,NG2,10
3085,AGT,0.6132397541770112,0.503,SGK1,Neurons2,Endothelial,10
3067,AGT,0.5729215765250217,0.0,PLCB1,Neurons2,Endothelial,10
4107,AGT,0.2888990978927971,0.0,HDAC2,Neurons2,Endothelial,10
2372,SFRP2,0.21545965856724092,0.0,WNT5A,Neurons2,Endothelial,10
1409,FGF14,0.19851798090791994,0.0,FGFR3,Neurons2,Endothelial,10
3329,AGT,0.17834813844986003,0.0,EDNRA,Neurons2,Endothelial,10
1582,NRP1,0.17285663956751296,0.0,PDGFRA,Neurons2,Endothelial,10
3643,TYK2,0.16088895951685966,0.0,PRKD2,Neurons2,Endothelial,10
1579,FGF14,0.14184609858532762,0.0,PDGFRA,Neurons2,Endothelial,10
1403,FGF9,0.12812287782563891,0.0,FGFR3,Neurons2,Endothelial,10
1569,FGF9,0.0714509955030466,0.0,PDGFRA,Neurons2,Endothelial,10
2269,SFRP2,0.8367848313095876,0.0,FZD2,Neurons2,Astrocytes,10
2280,WNT3,0.753393184569703,0.0,FZD2,Neurons2,Astrocytes,10
333,BDNF,0.38605533581844886,0.0,NTRK2,Neurons2,Microglia,10
3057,AGT,0.25568165580431623,0.0,MTOR,Neurons2,Microglia,10
3220,AGT,0.19979690171423412,0.0,SLC9A1,Neurons2,Microglia,10
2399,S100B,0.1996783147402389,0.0,MAP3K5,Neurons2,Microglia,10
3311,BDNF,0.19595152337367117,0.0,MAPK9,Neurons2,Microglia,10
2300,AGT,0.18467993310519626,0.0,MAP3K7,Neurons2,Microglia,10
2283,SFRP2,0.17903816952493978,0.0,FZD4,Neurons2,Microglia,10
4272,NXPH1,0.14579821335662568,0.0,NRXN1,Neurons2,Microglia,10
3970,NXPH1,0.13500798791891638,0.143,NRXN3,Neurons2,Microglia,10
2297,TGFB2,0.1164360454810664,0.004,MAP3K7,Neurons2,Microglia,10
3564,TGFB2,0.10069179304910607,0.042,ACVR1,Neurons2,Microglia,10
2261,WNT3,0.09564652278505523,0.0,FZD4,Neurons2,Microglia,10
3085,AGT,1.929481549912387,0.0,SGK1,Neurons2,Oligodendrocytes,10
3777,TGFB2,0.35586965904287565,0.0,PLAT,Neurons2,Oligodendrocytes,10
3067,AGT,0.2129698988150979,0.0,PLCB1,Neurons2,Oligodendrocytes,10
3112,KMT2E,0.7017499860167475,0.0,RARA,Ependymal,NG2,14
1402,FGF7,0.4184014985079878,0.0,FGFR3,Ependymal,NG2,14
806,S100A4,0.30802049730877606,0.0,ERBB3,Ependymal,NG2,14
4056,AVP,0.19262547328071075,1.0,PTH1R,Ependymal,NG2,14
3536,INHBA,0.058914445716556685,0.0,TGFBR3,Ependymal,NG2,14
3430,TYK2,0.05866821084457065,0.0,GHR,Ependymal,NG2,14
2374,SFRP5,0.7179041652958144,0.0,WNT5A,Ependymal,Endothelial,14
3084,AGT,0.5185189411099673,0.995,SGK1,Ependymal,Endothelial,14
3640,TYK2,0.44363359160554117,0.0,PRKD2,Ependymal,Endothelial,14
1402,FGF7,0.3101560931602743,0.0,FGFR3,Ependymal,Endothelial,14
1568,FGF7,0.2703447065574781,0.0,PDGFRA,Ependymal,Endothelial,14
