,TF,target,importance
27,Ddit3,Hspa5,21.773695550898108
86,Mycl,Neat1,21.748426166079234
94,Nkx2-2,Chd3,21.697448084804634
136,Sox6,Lbh,21.690507887804195
99,Nr1d2,Map7d2,21.687489176939845
72,Klf9,Zbtb16,21.64038681749682
66,Jun,Atf3,21.62751009091301
154,Tsc22d1,Hmgcs1,21.519856127491604
72,Klf9,Man1a2,21.49476378554127
44,Fosb,Hsph1,21.46569451878974
94,Nkx2-2,Gria2,21.414823641420814
33,Egr1,Nfasc,21.232715588442616
136,Sox6,Matn4,21.184913004986367
67,Jun,Gm15440,21.11943469519625
72,Klf9,Sema6a,21.117907291238083
89,Myt1l,Chd3,21.106222031345588
86,Mycl,Prkcdbp,21.101886956489434
43,Fos,Gm15440,21.008626580704636
162,Zbtb4,Igsf8,20.99939591303969
33,Egr1,Tnfaip6,20.992651489975298
154,Tsc22d1,Eps8,20.887612853030163
94,Nkx2-2,Sulf2,20.847701921890188
33,Egr1,Ermn,20.835874429383075
99,Nr1d2,Slc38a2,20.812976748134716
21,Csrnp3,Gm10636,20.80281311267158
157,Tub,Susd4,20.762409957527527
94,Nkx2-2,S100a1,20.747793510829936
150,Thrb,Slco1c1,20.729136047747073
136,Sox6,Arap2,20.698603956234383
99,Nr1d2,Neat1,20.693352069430297
44,Fosb,Gstp1,20.67949753674818
68,Junb,Mt1,20.679288614503573
162,Zbtb4,H1f0,20.67873021271528
86,Mycl,Pde4d,20.653746185041044
94,Nkx2-2,Traf4,20.57442056904834
154,Tsc22d1,Prkar2b,20.556663757343646
136,Sox6,Tmem163,20.53233929435393
27,Ddit3,Btg2,20.52607239606695
99,Nr1d2,Htra1,20.50842320569889
157,Tub,Fut9,20.504028304170628
44,Fosb,Anln,20.459790159053043
53,Gsx1,Atp1a2,20.41396885062082
16,Cdc5l,Sema6a,20.38456153681798
43,Fos,Socs3,20.324768359293103
67,Jun,Hsph1,20.3105326022069
68,Junb,Tppp3,20.236054934807235
67,Jun,H1f0,20.2177067293046
16,Cdc5l,Tuba1a,20.196210087860287
136,Sox6,Tub,20.13739878964405
16,Cdc5l,Hsp90ab1,20.13668467454688
157,Tub,Ophn1,20.115498384710104
33,Egr1,Gadd45g,20.098792509498562
157,Tub,Gad1,20.096284477968513
156,Tub,Tsc22d1,20.07756088761247
136,Sox6,Igsf8,20.046399168560118
94,Nkx2-2,Fam3c,20.04328084537765
28,Dlx1,Vgf,20.032511211735464
94,Nkx2-2,Dynll2,19.97149231807269
43,Fos,Hsph1,19.957974575555028
33,Egr1,Per1,19.92123200218877
